年,着順,馬番,馬名,馬齢,人気,騎手,斤量,厩舎,着差,上がり,馬体重,通過順位,父,父系統,母父,母父系統,母,日付,前走,間隔,条件
2024,1,11,シックスペンス,牡3,1,ルメール,56.0,国枝栄,1:45.1,33.3,502(＋14),3-4-4,キズナ,サンデーサイレンス,TwirlingCand,MrProspector,フィンレイズラッキ,2024/05/26,東京優,5ヶ月,芝2400
2024,2,2,ホウオウビスケッツ,牡4,4,岩田康,57.0,奥村武,クビ,33.8,502(4),1-1-1,マインドユアビスケ,ViceRegent,ルーラーシップ,MrProspector,ホウオウサブリナ,2024/07/14,函館記,中11週,芝2000
2024,3,14,エルトンバローズ,牡4,5,西村淳,58.0,杉山晴,3/4,33.7,520(＋4),2-2-2,ディープブリランテ,サンデーサイレンス,ブライアンズタイム,Roberto,ショウナンカラット,2024/07/21,中京記,中10週,芝1800
2023,1,6,エルトンバローズ,牡3,4,西村淳,55.0,杉山晴,1:45.0,33.8,506(＋6),4-4-4,ディープブリランテ,サンデーサイレンス,ブライアンズタイム,Roberto,ショウナンカラット,2023/7/2,ラジＮ,3ヶ月,芝1800
2023,2,10,ソングライン,牝5,1,戸崎圭,57.0,林徹,ハナ,33.5,490(＋10),4-7-6,キズナ,サンデーサイレンス,シンボリクリスエス,Roberto,ルミナスパレード,2023/6/4,安田記,4ヶ月,芝1600
2023,3,1,シュネルマイスター,牡5,2,ルメール,58.0,手塚貴,ハナ,33.3,500(＋10),9-10-10,Kingman,Danzig,SoldierHollo,Sadler'sWells,Serienholde,2023/6/4,安田記,4ヶ月,芝1600
2022,1,3,サリオス,牡5,1,松山弘,56.0,堀宣行,1:44.1,33.8,534(＋6),4-6-6,ハーツクライ,サンデーサイレンス,Lomitas,Nijinsky,サロミナ,2022/06/05,安田記,4ヶ月,芝1600
2022,2,9,ジャスティンカフェ,牡4,3,福永祐,56.0,安田翔,1/2,33.8,498(＋8),8-9-8,エピファネイア,Roberto,ワークフォース,MrProspector,カジノブギ,2022/06/12,エプソ,4ヶ月,芝1800
2022,3,4,ダノンザキッド,牡4,4,戸崎圭,56.0,安田隆,3/4,34.3,526(0),4-3-3,ジャスタウェイ,サンデーサイレンス,Dansili,Danzig,エピックラヴ,2022/08/14,関屋記,中7週,芝1600
2021,1,1,シュネルマイスター,牡3,1,ルメール,56.0,手塚貴,1:44.8,33,482(＋8),11-12-10,Kingman,Danzig,SoldierHollo,Sadler'sWells,Serienholde,2021/06/06,安田記,4ヶ月,芝1600
2021,2,7,ダノンキングリー,牡5,2,川田将,58.0,萩原清,アタマ,33.7,458(＋2),12-5-5,ディープインパクト,サンデーサイレンス,StormCat,StormBird,マイグッドネス,2021/06/06,安田記,4ヶ月,芝1600
2021,3,5,ポタジェ,牡4,4,吉田隼,56.0,友道康,1.1/2,34,472(＋8),4-4-4,ディープインパクト,サンデーサイレンス,AwesomeAgain,ViceRegent,ジンジャーパンチ,2021/05/09,新潟大,5ヶ月,芝2000
2020,1,9,サリオス,牡3,1,ルメール,54.0,堀宣行,1:45.5,34.1,538(＋10),4-4-4,ハーツクライ,サンデーサイレンス,Lomitas,Nijinsky,サロミナ,2020/5/31,東京優,5ヶ月,芝2400
2020,2,5,ダイワキャグニー,セ6,4,内田博,56.0,菊沢隆,3,34.9,498(2),3-3-3,キングカメハメハ,MrProspector,サンデーサイレンス,サンデーサイレンス,トリプレックス,2020/06/14,エプソ,4ヶ月,芝1800
2020,3,7,サンレイポケット,牡5,5,荻野極,56.0,高橋義,ハナ,34.4,472(4),5-5-5,ジャングルポケット,GreySovereign,ワイルドラッ,Nearctic,アドマイヤパンチ,2020/09/06,新潟記,中4週,芝2000
2019,1,9,ダノンキングリー,牡3,1,戸崎圭,54.0,萩原清,1:44.4,33.4,454(0),10-10-9,ディープインパクト,サンデーサイレンス,StormCat,StormBird,マイグッドネス,2019/05/26,東京優,5ヶ月,芝2400
2019,2,3,アエロリット,牝5,2,津村明,55.0,菊沢隆,1.1/4,34.5,516(0),1-1-1,クロフネ,ViceRegent,ネオユニヴァース,サンデーサイレンス,アステリックス,2019/06/02,安田記,4ヶ月,芝1600
2019,3,4,インディチャンプ,牡4,3,福永祐,58.0,音無秀,1.1/4,34.4,476(＋6),2-2-2,ステイゴールド,サンデーサイレンス,キングカメハ,MrProspector,ウィルパワー,2019/06/02,安田記,4ヶ月,芝1600
2018,1,9,アエロリット,牝4,1,モレイラ,55.0,菊沢隆,1:44.5,33.8,508(＋6),1-1-1,クロフネ,ViceRegent,ネオユニヴァース,サンデーサイレンス,アステリックス,2018/6/3,安田記,4ヶ月,芝1600
2018,2,5,ステルヴィオ,牡3,3,ルメール,55.0,木村哲,1.1/4,33.2,468(＋6),6-8-8,ロードカナロア,MrProspector,ファルブラヴ,NorthernDancer,ラルケット,2018/05/27,東京優,5ヶ月,芝2400
2018,3,1,キセキ,牡4,6,川田将,58.0,中竹和,クビ,33.9,504(＋10),2-2-2,ルーラーシップ,MrProspector,ディープインパクト,サンデーサイレンス,ブリッツフィナーレ,2018/06/24,宝塚記,4ヶ月,芝2200
2017,1,8,リアルスティール,牡5,3,Ｍデムーロ,57.0,矢作芳,1:45.6,32.8,506(＋4),7-7-7,ディープインパクト,サンデーサイレンス,StormCat,StormBird,ラヴズオンリーミー,2017/02/26,中山記,8ヶ月,芝1800
2017,2,12,サトノアラジン,牡6,5,川田将,58.0,池江泰,クビ,32.6,532(＋4),9-8-8,ディープインパクト,サンデーサイレンス,StormCat,StormBird,マジックストーム,2017/06/04,安田記,4ヶ月,芝1600
2017,3,7,グレーターロンドン,牡5,4,田辺裕,56.0,大竹正,1.1/2,32.6,474(0),9-10-10,ディープインパクト,サンデーサイレンス,ドクターデヴ,Tourbillon,ロンドンブリッジ,2017/06/04,安田記,4ヶ月,芝1600
2016,1,10,ルージュバック,牝4,1,戸崎圭,54.0,大竹正,1:46.6,33.4,454(＋2),10-11-11,マンハッタンカフェ,サンデーサイレンス,AwesomeAgain,ViceRegent,ジンジャーパンチ,2016/06/12,エプソ,4ヶ月,芝1800
2016,2,7,アンビシャス,牡4,3,ルメール,57.0,音無秀,クビ,33.6,474(＋4),9-9-9,ディープインパクト,サンデーサイレンス,エルコンドルパサー,MrProspector,カーニバルソング,2016/06/26,宝塚記,4ヶ月,芝2200
2016,3,1,ヒストリカル,牡7,11,横山典,56.0,音無秀,3,33.6,452(10),12-12-12,ディープインパクト,サンデーサイレンス,ノーザンテースト,ノーザンテースト,ブリリアントベリー,2016/06/12,エプソ,4ヶ月,芝1800
2015,1,13,エイシンヒカリ,牡4,1,武豊,56.0,坂口正,1:45.6,34,500(＋6),1-1-1,ディープインパクト,サンデーサイレンス,StormCat,StormBird,キャタリナ,2015/06/14,エプソ,4ヶ月,芝1800
2015,2,4,ディサイファ,牡6,4,四位洋,57.0,小島太,1.1/4,33.6,500(＋4),5-5-5,ディープインパクト,サンデーサイレンス,DubaiMillenn,MrProspector,ミズナ,2015/8/23,札幌記,中6週,芝2000
2015,3,6,イスラボニータ,牡4,7,蛯名正,57.0,栗田博,クビ,33.7,480(2),4-5-5,フジキセキ,サンデーサイレンス,Cozzene,GreySovereign,イスラコジーン,2015/3/1,中山記,8ヶ月,芝1800

